Car no,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration
1,18,8,307,130,3504,12
2,15,8,350,165,3693,11.5
3,18,8,318,150,3436,11
4,16,8,304,150,3433,12
5,17,8,302,140,3449,10.5
6,15,8,429,198,4341,10
7,14,8,454,220,4354,9
8,14,8,440,215,4312,8.5
9,14,8,455,225,4425,10
10,15,8,390,190,3850,8.5
11,15,8,383,170,3563,10
12,14,8,340,160,3609,8
13,15,8,400,150,3761,9.5
14,14,8,455,225,3086,10
15,24,4,113,95,2372,15
16,22,6,198,95,2833,15.5
17,18,6,199,97,2774,15.5
18,21,6,200,85,2587,16
19,27,4,97,88,2130,14.5
20,26,4,97,46,1835,20.5
21,25,4,110,87,2672,17.5
22,24,4,107,90,2430,14.5
23,25,4,104,95,2375,17.5
24,26,4,121,113,2234,12.5
25,21,6,199,90,2648,15
26,10,8,360,215,4615,14
27,10,8,307,200,4376,15
28,11,8,318,210,4382,13.5
29,9,8,304,193,4732,18.5
30,27,4,97,88,2130,14.5
31,28,4,140,90,2264,15.5
32,25,4,113,95,2228,14
33,19,6,232,100,2634,13
34,16,6,225,105,3439,15.5
35,17,6,250,100,3329,15.5
36,19,6,250,88,3302,15.5
37,18,6,232,100,3288,15.5
38,14,8,350,165,4209,12
39,14,8,400,175,4464,11.5
40,14,8,351,153,4154,13.5
41,14,8,318,150,4096,13
42,12,8,383,180,4955,11.5
43,13,8,400,170,4746,12
44,13,8,400,175,5140,12
45,18,6,258,110,2962,13.5
46,22,4,140,72,2408,19
47,19,6,250,100,3282,15
48,18,6,250,88,3139,14.5
49,23,4,122,86,2220,14
50,28,4,116,90,2123,14
51,30,4,79,70,2074,19.5
52,30,4,88,76,2065,14.5
53,31,4,71,65,1773,19
54,35,4,72,69,1613,18
55,27,4,97,60,1834,19
56,26,4,91,70,1955,20.5
57,24,4,113,95,2278,15.5
58,25,4,97.5,80,2126,17
59,23,4,97,54,2254,23.5
60,20,4,140,90,2408,19.5
61,21,4,122,86,2226,16.5
62,13,8,350,165,4274,12
63,14,8,400,175,4385,12
64,15,8,318,150,4135,13.5
65,14,8,351,153,4129,13
66,17,8,304,150,3672,11.5
67,11,8,429,208,4633,11
68,13,8,350,155,4502,13.5
69,12,8,350,160,4456,13.5
70,13,8,400,190,4422,12.5
71,19,3,70,97,2330,13.5
72,15,8,304,150,3892,12.5
73,13,8,307,130,4098,14
74,13,8,302,140,4294,16
75,14,8,318,150,4077,14
76,18,4,121,112,2933,14.5
77,22,4,121,76,2511,18
78,21,4,120,87,2979,19.5
79,26,4,96,69,2189,18
80,22,4,122,86,2395,16
81,28,4,97,92,2288,17
82,23,4,120,97,2506,14.5
83,28,4,98,80,2164,15
84,27,4,97,88,2100,16.5
85,13,8,350,175,4100,13
86,14,8,304,150,3672,11.5
87,13,8,350,145,3988,13
88,14,8,302,137,4042,14.5
89,15,8,318,150,3777,12.5
90,12,8,429,198,4952,11.5
91,13,8,400,150,4464,12
92,13,8,351,158,4363,13
93,14,8,318,150,4237,14.5
94,13,8,440,215,4735,11
95,12,8,455,225,4951,11
96,13,8,360,175,3821,11
97,18,6,225,105,3121,16.5
98,16,6,250,100,3278,18
99,18,6,232,100,2945,16
100,18,6,250,88,3021,16.5
101,23,6,198,95,2904,16
102,26,4,97,46,1950,21
103,11,8,400,150,4997,14
104,12,8,400,167,4906,12.5
105,13,8,360,170,4654,13
106,12,8,350,180,4499,12.5
107,18,6,232,100,2789,15
108,20,4,97,88,2279,19
109,21,4,140,72,2401,19.5
110,22,4,108,94,2379,16.5
111,18,3,70,90,2124,13.5
112,19,4,122,85,2310,18.5
113,21,6,155,107,2472,14
114,26,4,98,90,2265,15.5
115,15,8,350,145,4082,13
116,16,8,400,230,4278,9.5
117,29,4,68,49,1867,19.5
118,24,4,116,75,2158,15.5
119,20,4,114,91,2582,14
120,19,4,121,112,2868,15.5
121,15,8,318,150,3399,11
122,24,4,121,110,2660,14
123,20,6,156,122,2807,13.5
124,11,8,350,180,3664,11
125,20,6,198,95,3102,16.5
126,19,6,232,100,2901,16
127,15,6,250,100,3336,17
128,31,4,79,67,1950,19
129,26,4,122,80,2451,16.5
130,32,4,71,65,1836,21
131,25,4,140,75,2542,17
132,16,6,250,100,3781,17
133,16,6,258,110,3632,18
134,18,6,225,105,3613,16.5
135,16,8,302,140,4141,14
136,13,8,350,150,4699,14.5
137,14,8,318,150,4457,13.5
138,14,8,302,140,4638,16
139,14,8,304,150,4257,15.5
140,29,4,98,83,2219,16.5
141,26,4,79,67,1963,15.5
142,26,4,97,78,2300,14.5
143,31,4,76,52,1649,16.5
144,32,4,83,61,2003,19
145,28,4,90,75,2125,14.5
146,24,4,90,75,2108,15.5
147,26,4,116,75,2246,14
148,24,4,120,97,2489,15
149,26,4,108,93,2391,15.5
150,31,4,79,67,2000,16
151,19,6,225,95,3264,16
152,18,6,250,105,3459,16
153,15,6,250,72,3432,21
154,15,6,250,72,3158,19.5
155,16,8,400,170,4668,11.5
156,15,8,350,145,4440,14
157,16,8,318,150,4498,14.5
158,14,8,351,148,4657,13.5
159,17,6,231,110,3907,21
160,16,6,250,105,3897,18.5
161,15,6,258,110,3730,19
162,18,6,225,95,3785,19
163,21,6,231,110,3039,15
164,20,8,262,110,3221,13.5
165,13,8,302,129,3169,12
166,29,4,97,75,2171,16
167,23,4,140,83,2639,17
168,20,6,232,100,2914,16
169,23,4,140,78,2592,18.5
170,24,4,134,96,2702,13.5
171,25,4,90,71,2223,16.5
172,24,4,119,97,2545,17
173,18,6,171,97,2984,14.5
174,29,4,90,70,1937,14
175,19,6,232,90,3211,17
176,23,4,115,95,2694,15
177,23,4,120,88,2957,17
178,22,4,121,98,2945,14.5
179,25,4,121,115,2671,13.5
180,33,4,91,53,1795,17.5
181,28,4,107,86,2464,15.5
182,25,4,116,81,2220,16.9
183,25,4,140,92,2572,14.9
184,26,4,98,79,2255,17.7
185,27,4,101,83,2202,15.3
186,17.5,8,305,140,4215,13
187,16,8,318,150,4190,13
188,15.5,8,304,120,3962,13.9
189,14.5,8,351,152,4215,12.8
190,22,6,225,100,3233,15.4
191,22,6,250,105,3353,14.5
192,24,6,200,81,3012,17.6
193,22.5,6,232,90,3085,17.6
194,29,4,85,52,2035,22.2
195,24.5,4,98,60,2164,22.1
196,29,4,90,70,1937,14.2
197,33,4,91,53,1795,17.4
198,20,6,225,100,3651,17.7
199,18,6,250,78,3574,21
200,18.5,6,250,110,3645,16.2
201,17.5,6,258,95,3193,17.8
202,29.5,4,97,71,1825,12.2
203,32,4,85,70,1990,17
204,28,4,97,75,2155,16.4
205,26.5,4,140,72,2565,13.6
206,20,4,130,102,3150,15.7
207,13,8,318,150,3940,13.2
208,19,4,120,88,3270,21.9
209,19,6,156,108,2930,15.5
210,16.5,6,168,120,3820,16.7
211,16.5,8,350,180,4380,12.1
212,13,8,350,145,4055,12
213,13,8,302,130,3870,15
214,13,8,318,150,3755,14
215,31.5,4,98,68,2045,18.5
216,30,4,111,80,2155,14.8
217,36,4,79,58,1825,18.6
218,25.5,4,122,96,2300,15.5
219,33.5,4,85,70,1945,16.8
220,17.5,8,305,145,3880,12.5
221,17,8,260,110,4060,19
222,15.5,8,318,145,4140,13.7
223,15,8,302,130,4295,14.9
224,17.5,6,250,110,3520,16.4
225,20.5,6,231,105,3425,16.9
226,19,6,225,100,3630,17.7
227,18.5,6,250,98,3525,19
228,16,8,400,180,4220,11.1
229,15.5,8,350,170,4165,11.4
230,15.5,8,400,190,4325,12.2
231,16,8,351,149,4335,14.5
232,29,4,97,78,1940,14.5
233,24.5,4,151,88,2740,16
234,26,4,97,75,2265,18.2
235,25.5,4,140,89,2755,15.8
236,30.5,4,98,63,2051,17
237,33.5,4,98,83,2075,15.9
238,30,4,97,67,1985,16.4
239,30.5,4,97,78,2190,14.1
240,22,6,146,97,2815,14.5
241,21.5,4,121,110,2600,12.8
242,21.5,3,80,110,2720,13.5
243,43.1,4,90,48,1985,21.5
244,36.1,4,98,66,1800,14.4
245,32.8,4,78,52,1985,19.4
246,39.4,4,85,70,2070,18.6
247,36.1,4,91,60,1800,16.4
248,19.9,8,260,110,3365,15.5
249,19.4,8,318,140,3735,13.2
250,20.2,8,302,139,3570,12.8
251,19.2,6,231,105,3535,19.2
252,20.5,6,200,95,3155,18.2
253,20.2,6,200,85,2965,15.8
254,25.1,4,140,88,2720,15.4
255,20.5,6,225,100,3430,17.2
256,19.4,6,232,90,3210,17.2
257,20.6,6,231,105,3380,15.8
258,20.8,6,200,85,3070,16.7
259,18.6,6,225,110,3620,18.7
260,18.1,6,258,120,3410,15.1
261,19.2,8,305,145,3425,13.2
262,17.7,6,231,165,3445,13.4
263,18.1,8,302,139,3205,11.2
264,17.5,8,318,140,4080,13.7
265,30,4,98,68,2155,16.5
266,27.5,4,134,95,2560,14.2
267,27.2,4,119,97,2300,14.7
268,30.9,4,105,75,2230,14.5
269,21.1,4,134,95,2515,14.8
270,23.2,4,156,105,2745,16.7
271,23.8,4,151,85,2855,17.6
272,23.9,4,119,97,2405,14.9
273,20.3,5,131,103,2830,15.9
274,17,6,163,125,3140,13.6
275,21.6,4,121,115,2795,15.7
276,16.2,6,163,133,3410,15.8
277,31.5,4,89,71,1990,14.9
278,29.5,4,98,68,2135,16.6
279,21.5,6,231,115,3245,15.4
280,19.8,6,200,85,2990,18.2
281,22.3,4,140,88,2890,17.3
282,20.2,6,232,90,3265,18.2
283,20.6,6,225,110,3360,16.6
284,17,8,305,130,3840,15.4
285,17.6,8,302,129,3725,13.4
286,16.5,8,351,138,3955,13.2
287,18.2,8,318,135,3830,15.2
288,16.9,8,350,155,4360,14.9
289,15.5,8,351,142,4054,14.3
290,19.2,8,267,125,3605,15
291,18.5,8,360,150,3940,13
292,31.9,4,89,71,1925,14
293,34.1,4,86,65,1975,15.2
294,35.7,4,98,80,1915,14.4
295,27.4,4,121,80,2670,15
296,25.4,5,183,77,3530,20.1
297,23,8,350,125,3900,17.4
298,27.2,4,141,71,3190,24.8
299,23.9,8,260,90,3420,22.2
300,34.2,4,105,70,2200,13.2
301,34.5,4,105,70,2150,14.9
302,31.8,4,85,65,2020,19.2
303,37.3,4,91,69,2130,14.7
304,28.4,4,151,90,2670,16
305,28.8,6,173,115,2595,11.3
306,26.8,6,173,115,2700,12.9
307,33.5,4,151,90,2556,13.2
308,41.5,4,98,76,2144,14.7
309,38.1,4,89,60,1968,18.8
310,32.1,4,98,70,2120,15.5
311,37.2,4,86,65,2019,16.4
312,28,4,151,90,2678,16.5
313,26.4,4,140,88,2870,18.1
314,24.3,4,151,90,3003,20.1
315,19.1,6,225,90,3381,18.7
316,34.3,4,97,78,2188,15.8
317,29.8,4,134,90,2711,15.5
318,31.3,4,120,75,2542,17.5
319,37,4,119,92,2434,15
320,32.2,4,108,75,2265,15.2
321,46.6,4,86,65,2110,17.9
322,27.9,4,156,105,2800,14.4
323,40.8,4,85,65,2110,19.2
324,44.3,4,90,48,2085,21.7
325,43.4,4,90,48,2335,23.7
326,36.4,5,121,67,2950,19.9
327,30,4,146,67,3250,21.8
328,44.6,4,91,67,1850,13.8
329,33.8,4,97,67,2145,18
330,29.8,4,89,62,1845,15.3
331,32.7,6,168,132,2910,11.4
332,23.7,3,70,100,2420,12.5
333,35,4,122,88,2500,15.1
334,32.4,4,107,72,2290,17
335,27.2,4,135,84,2490,15.7
336,26.6,4,151,84,2635,16.4
337,25.8,4,156,92,2620,14.4
338,23.5,6,173,110,2725,12.6
339,30,4,135,84,2385,12.9
340,39.1,4,79,58,1755,16.9
341,39,4,86,64,1875,16.4
342,35.1,4,81,60,1760,16.1
343,32.3,4,97,67,2065,17.8
344,37,4,85,65,1975,19.4
345,37.7,4,89,62,2050,17.3
346,34.1,4,91,68,1985,16
347,34.7,4,105,63,2215,14.9
348,34.4,4,98,65,2045,16.2
349,29.9,4,98,65,2380,20.7
350,33,4,105,74,2190,14.2
352,33.7,4,107,75,2210,14.4
353,32.4,4,108,75,2350,16.8
354,32.9,4,119,100,2615,14.8
355,31.6,4,120,74,2635,18.3
356,28.1,4,141,80,3230,20.4
357,30.7,6,145,76,3160,19.6
358,25.4,6,168,116,2900,12.6
359,24.2,6,146,120,2930,13.8
360,22.4,6,231,110,3415,15.8
361,26.6,8,350,105,3725,19
362,20.2,6,200,88,3060,17.1
363,17.6,6,225,85,3465,16.6
364,28,4,112,88,2605,19.6
365,27,4,112,88,2640,18.6
366,34,4,112,88,2395,18
367,31,4,112,85,2575,16.2
368,29,4,135,84,2525,16
369,27,4,151,90,2735,18
370,24,4,140,92,2865,16.4
372,36,4,105,74,1980,15.3
373,37,4,91,68,2025,18.2
374,31,4,91,68,1970,17.6
375,38,4,105,63,2125,14.7
376,36,4,98,70,2125,17.3
377,36,4,120,88,2160,14.5
378,36,4,107,75,2205,14.5
379,34,4,108,70,2245,16.9
380,38,4,91,67,1965,15
381,32,4,91,67,1965,15.7
382,38,4,91,67,1995,16.2
383,25,6,181,110,2945,16.4
384,38,6,262,85,3015,17
385,26,4,156,92,2585,14.5
386,22,6,232,112,2835,14.7
387,32,4,144,96,2665,13.9
388,36,4,135,84,2370,13
389,27,4,151,90,2950,17.3
390,27,4,140,86,2790,15.6
391,44,4,97,52,2130,24.6
392,32,4,135,84,2295,11.6
393,28,4,120,79,2625,18.6
394,31,4,119,82,2720,19.4
